asin,title,price,rating,reviews,sold_past_month,is_bestseller,is_prime,is_amazon_choice,has_sustainability_features,brand
B09TPTNZLG,"ASUS ZenBook Pro Duo 15 UX582 Laptop, 15.6” OLED 4K Touch Display, i7-12700H, 16GB, 1TB, GeForce RTX 3070 Ti, ScreenPad Plus, Windows 11 Home, Celestial Blue, UX582ZW-AB76T",,4.3 out of 5 stars,324.0,,False,False,False,False,ASUS
B0D3GWGB66,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB eMMC + 128GB USB Card), Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold",268.0,4.2 out of 5 stars,433.0,,False,False,False,False,HP
B0C4P29ZXH,"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 64GB eMMC Storage, UHD Graphics, HD Webcam, 1 Year Office 365, Bluetooth, WiFi, HDMI, Win 11s, Pink, 32GB Hotface USB Card",309.0,4.3 out of 5 stars,314.0,50.0,False,False,False,False,HP
B0CKW2H77V,"8 Inch Mini Laptop HD Touchscreen Portable 2-in-1 Small Computer, Windows 11 Pro Laptop for Business and Students,Intel N100 12GB LPDDR5 512GB M.2 SSD,Wi-Fi 6,BT5.2,2MP Camera,G-Sensor,HDMI,Type C",419.0,3.8 out of 5 stars,101.0,,False,False,False,False,Generic
B0CNDX49H6,"acer Swift Go 14 Intel Evo Thin & Light Laptop | 14"" OLED 2880 x 1800 90Hz Display | Unlock AI Experiences | Intel Core Ultra 7 Processor 155H | Intel ARC | 16GB LPDDR5X | 1TB SSD | SFG14-72-72YK",799.99,4.0 out of 5 stars,75.0,,False,False,False,True,Generic
B0CFSBT85B,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 512GB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",648.9,4.3 out of 5 stars,917.0,50.0,False,False,False,False,HP
B0D9NKTJYM,"OTVOC Laptop 16 inch Windows 11, 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",359.99,5.0 out of 5 stars,5.0,,False,False,False,False,OTVOC
B09VTNKJWS,"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16 inch, 32GB RAM, 512GB SSD) Space Gray (Renewed)",599.99,4.0 out of 5 stars,51.0,,False,False,False,True,Generic
B082MRK1DB,"Mid 2018 Apple MacBook Pro Touch Bar with 2.7GHz Quad-Core Intel Core i7 (13.3 inches, 16GB RAM, 512GB SSD) Silver (Renewed)",487.5,4.6 out of 5 stars,8.0,,False,False,False,True,Generic
B0DHVRD4H3,ACEMAGIC Laptop Computer with Intel N95 Windows Laptop 16GB DDR4 512GB M.2 2280 SSD Traditional Laptops 15.6-inch IPS FHD Windows11 WIFI5 BT5.0 HDMI Type-C USB Home Laptops Office Laptops Mini Laptop,359.99,5.0 out of 5 stars,7.0,50.0,False,False,False,False,ACEMAGIC
